name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_12-03,gauss,1,1.1,6,34.64716,34.85773,0.60776,0.9801,0.98265,0.26018,0.99648,0.99586,-0.06222
Case_12-03,gauss,1,1.4,8,34.64716,34.92409,0.79929,0.9801,0.98291,0.28671,0.99648,0.9956,-0.08831
Case_12-03,gauss,1,1.7,10,34.64716,34.59736,-0.14373,0.9801,0.98203,0.19692,0.99648,0.99469,-0.17963
Case_12-03,gauss,1,2,12,34.64716,33.9854,-1.91,0.9801,0.98029,0.01939,0.99648,0.99321,-0.32816
Case_12-04,gauss,1,0.4,2,34.71957,23.15578,-33.30626,0.98023,0.90615,-7.55741,0.99612,0.91909,-7.733
Case_12-04,gauss,1,0.7,4,34.71957,33.42018,-3.74253,0.98023,0.97817,-0.21015,0.99612,0.99318,-0.29515
Case_12-04,gauss,1,1.1,6,34.71957,34.50096,-0.62964,0.98023,0.98101,0.07957,0.99612,0.9949,-0.12248
Case_12-04,gauss,1,1.4,8,34.71957,34.36153,-1.03123,0.98023,0.98015,-0.00816,0.99612,0.99439,-0.17367
Case_12-04,gauss,1,1.7,10,34.71957,33.78763,-2.68419,0.98023,0.97768,-0.26014,0.99612,0.99301,-0.31221
Case_12-04,gauss,1,2,12,34.71957,32.96662,-5.04888,0.98023,0.97408,-0.6274,0.99612,0.99085,-0.52905
Case_12-05,gauss,1,0.4,2,34.39273,23.74633,-30.95538,0.97701,0.91235,-6.61815,0.99588,0.9311,-6.5048
Case_12-05,gauss,1,0.7,4,34.39273,33.47322,-2.67356,0.97701,0.97616,-0.087,0.99588,0.99361,-0.22794
Case_12-05,gauss,1,1.1,6,34.39273,34.18004,-0.61842,0.97701,0.97808,0.10952,0.99588,0.99461,-0.12753
Case_12-05,gauss,1,1.4,8,34.39273,33.92851,-1.34976,0.97701,0.97643,-0.05936,0.99588,0.99384,-0.20484
Case_12-05,gauss,1,1.7,10,34.39273,33.24688,-3.33166,0.97701,0.9729,-0.42067,0.99588,0.99209,-0.38057
Case_12-05,gauss,1,2,12,34.39273,32.3608,-5.90802,0.97701,0.96814,-0.90787,0.99588,0.98954,-0.63662
Case_12-06,gauss,1,0.4,2,34.13071,24.80548,-27.32211,0.97721,0.92767,-5.06953,0.9952,0.93977,-5.56973
Case_12-06,gauss,1,0.7,4,34.13071,33.52662,-1.76993,0.97721,0.97742,0.02149,0.9952,0.99315,-0.20599
Case_12-06,gauss,1,1.1,6,34.13071,34.17373,0.12604,0.97721,0.97925,0.20876,0.9952,0.99398,-0.12259
Case_12-06,gauss,1,1.4,8,34.13071,33.96028,-0.49935,0.97721,0.97793,0.07368,0.9952,0.99303,-0.21805
Case_12-06,gauss,1,1.7,10,34.13071,33.32152,-2.37086,0.97721,0.97491,-0.23536,0.9952,0.99102,-0.42002
Case_12-06,gauss,1,2,12,34.13071,32.47363,-4.8551,0.97721,0.97079,-0.65697,0.9952,0.98814,-0.70941
Case_12-07,gauss,1,0.4,2,34.27531,23.8553,-30.40092,0.9758,0.91173,-6.56589,0.99522,0.92461,-7.09491
Case_12-07,gauss,1,0.7,4,34.27531,33.55752,-2.09419,0.9758,0.97543,-0.03792,0.99522,0.99305,-0.21804
Case_12-07,gauss,1,1.1,6,34.27531,34.1805,-0.27661,0.9758,0.97728,0.15167,0.99522,0.99389,-0.13364
Case_12-07,gauss,1,1.4,8,34.27531,33.9385,-0.98266,0.9758,0.9756,-0.0205,0.99522,0.99296,-0.22709
Case_12-07,gauss,1,1.7,10,34.27531,33.26886,-2.93637,0.9758,0.97197,-0.3925,0.99522,0.99095,-0.42905
Case_12-07,gauss,1,2,12,34.27531,32.4002,-5.47073,0.9758,0.9671,-0.89158,0.99522,0.98806,-0.71944
Case_12-08,gauss,1,0.4,2,34.35927,24.58702,-28.44138,0.97891,0.92459,-5.54903,0.99574,0.94055,-5.54261
Case_12-08,gauss,1,0.7,4,34.35927,33.74666,-1.78295,0.97891,0.97871,-0.02043,0.99574,0.99401,-0.17374
Case_12-08,gauss,1,1.1,6,34.35927,34.40595,0.13586,0.97891,0.98056,0.16855,0.99574,0.9948,-0.0944
Case_12-08,gauss,1,1.4,8,34.35927,34.20884,-0.43781,0.97891,0.9794,0.05006,0.99574,0.99404,-0.17073
Case_12-08,gauss,1,1.7,10,34.35927,33.59014,-2.23849,0.97891,0.97664,-0.23189,0.99574,0.99237,-0.33844
Case_12-08,gauss,1,2,12,34.35927,32.75642,-4.66497,0.97891,0.97281,-0.62314,0.99574,0.98994,-0.58248
Case_12-09,gauss,1,0.4,2,34.45769,24.67491,-28.3907,0.98045,0.92863,-5.28533,0.99547,0.93728,-5.84548
Case_12-09,gauss,1,0.7,4,34.45769,33.78127,-1.96305,0.98045,0.98003,-0.04284,0.99547,0.99353,-0.19488
Case_12-09,gauss,1,1.1,6,34.45769,34.45027,-0.02153,0.98045,0.9819,0.14789,0.99547,0.99445,-0.10246
Case_12-09,gauss,1,1.4,8,34.45769,34.23085,-0.65831,0.98045,0.98095,0.051,0.99547,0.99365,-0.18283
Case_12-09,gauss,1,1.7,10,34.45769,33.5945,-2.50507,0.98045,0.97854,-0.19481,0.99547,0.99187,-0.36164
